key,file_count,size_bytes,code_lines,comment_lines,blank_lines,doc_lines,total_lines,avg_risk_score,avg_hotspot_score,total_churn,tracked_files,binary_files
Python,50,268589,6267,305,1412,0,7984,24.92,10488.69,10350,50,0
JSON,3,59757,945,0,0,0,945,1.67,467.2,945,3,0
HTML,3,29361,664,4,92,0,760,28.94,2884.43,1468,3,0
PowerShell,3,9671,238,29,37,0,304,14.39,598.72,304,3,0
BAK,1,8591,212,0,50,0,262,31.69,2036.01,262,1,0
No Extension,2,2006,101,0,23,0,124,2.51,110.24,130,2,0
YAML,2,3123,94,0,13,0,107,3.58,125.66,115,2,0
Batch,1,6300,65,6,7,0,78,1.44,95.84,78,1,0
EXAMPLE,1,1430,38,0,8,0,46,0.84,50.03,46,1,0
SAMPLE,1,434,18,0,2,0,20,6.23,81.68,20,1,0
INI,1,208,13,0,0,0,13,2.22,19.14,13,1,0
CODE-WORKSPACE,1,60,8,0,0,0,8,0.16,5.98,8,1,0
JPG,2,137505,0,0,0,0,0,0.0,0.15,0,2,2
Markdown,22,282460,0,0,801,6084,6885,1.02,47.16,6895,22,0
PNG,2,2613438,0,0,0,0,0,0.0,0.15,0,2,2
Text,2,2194,0,0,13,50,63,0.07,2.7,34,2,0
